protobuf_field_number,protobuf_field,field_status,protobuf_type,repeated,instance_fields,opcua_node_pattern,dcs_data_type,engineering_unit,data_source,control_owner
240,BoardTelemetry.afe_global_busy_afe12,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.AFE.Global.BusyAfe12,Boolean,N/A,afeGlobalControl.BUSY_AFE12,DAQ
241,BoardTelemetry.afe_global_busy_afe34,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.AFE.Global.BusyAfe34,Boolean,N/A,afeGlobalControl.BUSY_AFE34,DAQ
242,BoardTelemetry.afe_global_bias_enable,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.AFE.Global.BiasEnable,Boolean,N/A,biasEnable.ENABLE,Slow Controls
243,BoardTelemetry.afe_global_bias_control_code,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.AFE.Global.BiasControlCode,Integer,N/A,READ_VBIAS_CONTROL,DAQ
244,BoardTelemetry.afe_blocks_attenuation,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.Attenuation,Integer,count,READ/WRITE AFE attenuation,DAQ
245,BoardTelemetry.afe_blocks_v_gain,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.VGain,Integer,count,READ_AFE_VGAIN,DAQ
246,BoardTelemetry.afe_blocks_bias_set_code,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasSetCode,Integer,count,READ_AFE_BIAS_SET,DAQ
247,BoardTelemetry.afe_blocks_bias_voltage,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasVoltage,Double,V,GeneralInfo.v_bias_0..4 / bias monitor,DAQ
248,BoardTelemetry.afe_blocks_bias_voltage_target,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasVoltageTarget,Double,V,cmd_writeAFEBiasControlledSet.target_bias_mv,DAQ
249,BoardTelemetry.afe_blocks_bias_voltage_error,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasVoltageError,Double,mV,cmd_writeAFEBiasControlledSet_response.error_mv,DAQ
250,BoardTelemetry.afe_blocks_bias_control_status,Active,AfeStringReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasControlStatus,String,N/A,AfeBiasControlStatus,DAQ
251,BoardTelemetry.afe_blocks_bias_control_settled,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasControlSettled,Boolean,N/A,controlled-set response.settled,DAQ
252,BoardTelemetry.afe_blocks_bias_control_iterations,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasControlIterations,Integer,count,controlled-set response.iterations,DAQ
253,BoardTelemetry.afe_blocks_bias_voltage_slope,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasVoltageSlope,Double,mV/s,controlled-set response.final_slope_mv_per_s,DAQ
254,BoardTelemetry.afe_blocks_bias_stable_samples,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.BiasStableSamples,Integer,count,controlled-set response.stable_samples,DAQ
255,BoardTelemetry.afe_blocks_adc_resolution,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.AdcResolution,Boolean,N/A,AFEConfig.adc.resolution,DAQ
256,BoardTelemetry.afe_blocks_adc_output_format,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.AdcOutputFormat,Boolean,N/A,AFEConfig.adc.output_format,DAQ
257,BoardTelemetry.afe_blocks_adc_msb_first,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.AdcMsbFirst,Boolean,N/A,AFEConfig.adc.sb_first,DAQ
258,BoardTelemetry.afe_blocks_pga_lpf_cut_frequency,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.PgaLpfCutFrequency,Integer,count,AFEConfig.pga.lpf_cut_frequency,DAQ
259,BoardTelemetry.afe_blocks_pga_integrator_disabled,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.PgaIntegratorDisabled,Boolean,N/A,AFEConfig.pga.integrator_disable,DAQ
260,BoardTelemetry.afe_blocks_pga_gain,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.PgaGain,Boolean,N/A,AFEConfig.pga.gain,DAQ
261,BoardTelemetry.afe_blocks_lna_clamp,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.LnaClamp,Integer,count,AFEConfig.lna.clamp,DAQ
262,BoardTelemetry.afe_blocks_lna_gain,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.LnaGain,Integer,count,AFEConfig.lna.gain,DAQ
263,BoardTelemetry.afe_blocks_lna_integrator_disabled,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.LnaIntegratorDisabled,Boolean,N/A,AFEConfig.lna.integrator_disable,DAQ
264,BoardTelemetry.afe_blocks_alignment_delay,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.AlignmentDelay,Integer,tap,cmd_alignAFEs_response.delay,DAQ
265,BoardTelemetry.afe_blocks_alignment_bitslip,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.AlignmentBitslip,Integer,count,cmd_alignAFEs_response.bitslip,DAQ
266,BoardTelemetry.afe_blocks_aligned,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.AFE.Blocks.{Afe}.Aligned,Boolean,N/A,frontend alignment status contract,DAQ
267,BoardTelemetry.channels_trim,Active,ChannelIntegerReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.Trim,Integer,count,READ_TRIM_*,DAQ
268,BoardTelemetry.channels_offset,Active,ChannelIntegerReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.Offset,Integer,count,READ_OFFSET_*,DAQ
269,BoardTelemetry.channels_gain,Active,ChannelIntegerReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.Gain,Integer,count,ChannelConfig.gain + readback contract,DAQ
270,BoardTelemetry.channels_current_monitor_raw,Active,ChannelIntegerReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.CurrentMonitorRaw,Integer,count,READ_CURRENT_MONITOR,DAQ
271,BoardTelemetry.channels_current,Active,ChannelDoubleReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.Current,Double,A,current monitor + calibration,DAQ
272,BoardTelemetry.channels_trigger_enabled,Active,ChannelBooleanReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.TriggerEnabled,Boolean,N/A,triggerEnableLow/High,DAQ
273,BoardTelemetry.channels_full_stream_enabled,Active,ChannelBooleanReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.FullStreamEnabled,Boolean,N/A,ConfigureRequest.full_stream_channels,DAQ
274,BoardTelemetry.channels_trigger_threshold,Active,ChannelIntegerReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.TriggerThreshold,Integer,count,TriggerChannelSnapshot.threshold,DAQ
275,BoardTelemetry.channels_trigger_record_count,Active,ChannelLongReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.TriggerRecordCount,Long,count,TriggerChannelSnapshot.record_count,DAQ
276,BoardTelemetry.channels_trigger_busy_count,Active,ChannelLongReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.TriggerBusyCount,Long,count,TriggerChannelSnapshot.busy_count,DAQ
277,BoardTelemetry.channels_trigger_full_count,Active,ChannelLongReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.TriggerFullCount,Long,count,TriggerChannelSnapshot.full_count,DAQ
278,BoardTelemetry.channels_trigger_rate,Active,ChannelDoubleReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.TriggerRate,Double,Hz,delta(record_count)/delta(time),DAQ
279,BoardTelemetry.channels_busy_fraction,Active,ChannelDoubleReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.BusyFraction,Double,%,delta(busy)/defined opportunity denominator,DAQ
280,BoardTelemetry.channels_packet_count,Active,ChannelLongReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.PacketCount,Long,count,ChannelInfo.total_packets,DAQ
281,BoardTelemetry.channels_packet_rate,Active,ChannelDoubleReading,Yes,channel,DAPHNE.Boards.{BoardId}.Channels.{Channel}.PacketRate,Double,Hz,ChannelInfo.new_packets / interval,DAQ
282,BoardTelemetry.configuration_active_self_trigger_threshold,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.SelfTriggerThreshold,Long,N/A,ConfigureRequest.self_trigger_threshold,DAQ
283,BoardTelemetry.configuration_active_self_trigger_xcorr,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.SelfTriggerXcorr,Long,N/A,ConfigureRequest.self_trigger_xcorr,DAQ
284,BoardTelemetry.configuration_active_trigger_primitive_config,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.TriggerPrimitiveConfig,Long,N/A,ConfigureRequest.tp_conf,DAQ
285,BoardTelemetry.configuration_active_compensator_mask,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.CompensatorMask,Long,N/A,ConfigureRequest.compensator,DAQ
286,BoardTelemetry.configuration_active_inverter_mask,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.InverterMask,Long,N/A,ConfigureRequest.inverters,DAQ
287,BoardTelemetry.configuration_active_full_stream_channel_list,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.FullStreamChannelList,String,N/A,ConfigureRequest.full_stream_channels,DAQ
288,BoardTelemetry.configuration_active_slot,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.Slot,Integer,N/A,ConfigureRequest.slot,DAQ
289,BoardTelemetry.configuration_active_request_timeout_ms,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.RequestTimeoutMs,Integer,N/A,ConfigureRequest.timeout_ms,DAQ
290,BoardTelemetry.configuration_active_bias_control,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.BiasControl,Integer,N/A,ConfigureRequest.biasctrl,DAQ
291,BoardTelemetry.configuration_active_self_trigger_config_raw,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.SelfTriggerConfigRaw,Integer,N/A,stuffregs.OFF_ST_CONFIG,DAQ
292,BoardTelemetry.configuration_active_self_trigger_delay_raw,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.SelfTriggerDelayRaw,Integer,N/A,stuffregs.OFF_ST_DELAY,DAQ
293,BoardTelemetry.configuration_active_self_trigger_filter_output_select,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Configuration.Active.SelfTriggerFilterOutputSelect,Integer,N/A,stuffregs.OFF_ST_FILTER_OUTPUT_SEL,DAQ
294,BoardTelemetry.spy_trigger_source_selector,Active,IntegerSample,No,,DAPHNE.Boards.{BoardId}.Spy.Trigger.SourceSelector,Integer,N/A,daphne-firmware working tree: spy_trigger_ctrl_reg[1:0] at 0x88000034,DAQ
295,BoardTelemetry.spy_trigger_inhibit,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Spy.Trigger.Inhibit,Boolean,N/A,daphne-firmware working tree: spy_trigger_ctrl_reg[2] at 0x88000034,DAQ
296,BoardTelemetry.readout_stream_total_packets,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.TotalPackets,Long,count,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
297,BoardTelemetry.readout_stream_new_packets,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.NewPackets,Long,count,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
298,BoardTelemetry.readout_stream_total_dropped_packets,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.TotalDroppedPackets,Long,count,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
299,BoardTelemetry.readout_stream_new_dropped_packets,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.NewDroppedPackets,Long,count,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
300,BoardTelemetry.readout_stream_packet_rate,Active,DoubleSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.PacketRate,Double,Hz,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
301,BoardTelemetry.readout_stream_drop_rate,Active,DoubleSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.DropRate,Double,Hz,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
302,BoardTelemetry.readout_stream_drop_fraction,Active,DoubleSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.DropFraction,Double,%,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
303,BoardTelemetry.readout_stream_throttling_active,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.ThrottlingActive,Boolean,N/A,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
304,BoardTelemetry.readout_stream_throttle_event_count,Active,LongSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.ThrottleEventCount,Long,count,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
305,BoardTelemetry.readout_stream_data_path_stale,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Readout.Stream.DataPathStale,Boolean,N/A,InfoResponse.StreamInfo plus required gateware/Hermes health,DAQ
306,BoardTelemetry.readout_links_provisioned,Active,DataLinkBooleanReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.Provisioned,Boolean,N/A,Hermes/10GbE gateware health contract,DAQ
307,BoardTelemetry.readout_links_enabled,Active,DataLinkBooleanReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.Enabled,Boolean,N/A,Hermes/10GbE gateware health contract,DAQ
308,BoardTelemetry.readout_links_link_ready,Active,DataLinkBooleanReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.LinkReady,Boolean,N/A,Hermes/10GbE gateware health contract,DAQ
309,BoardTelemetry.readout_links_local_fault,Active,DataLinkBooleanReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.LocalFault,Boolean,N/A,Hermes/10GbE gateware health contract,DAQ
310,BoardTelemetry.readout_links_remote_fault,Active,DataLinkBooleanReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.RemoteFault,Boolean,N/A,Hermes/10GbE gateware health contract,DAQ
311,BoardTelemetry.readout_links_tx_packet_count,Active,DataLinkLongReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.TxPacketCount,Long,N/A,Hermes/10GbE gateware health contract,DAQ
312,BoardTelemetry.readout_links_tx_byte_count,Active,DataLinkLongReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.TxByteCount,Long,byte,Hermes/10GbE gateware health contract,DAQ
313,BoardTelemetry.readout_links_error_count,Active,DataLinkLongReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.ErrorCount,Long,N/A,Hermes/10GbE gateware health contract,DAQ
314,BoardTelemetry.readout_links_destination_ip,Active,DataLinkStringReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.DestinationIp,String,N/A,Hermes/10GbE gateware health contract,DAQ
315,BoardTelemetry.readout_links_destination_port,Active,DataLinkIntegerReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.DestinationPort,Integer,N/A,Hermes/10GbE gateware health contract,DAQ
316,BoardTelemetry.readout_links_mtu_bytes,Active,DataLinkIntegerReading,Yes,data_link,DAPHNE.Boards.{BoardId}.Readout.Links.{DataLink}.MtuBytes,Integer,byte,Hermes/10GbE gateware health contract,DAQ
