protobuf_field_number,protobuf_field,field_status,protobuf_type,repeated,instance_fields,opcua_node_pattern,dcs_data_type,engineering_unit,data_source,control_owner
151,BoardTelemetry.power_pm_bus_status_temperature,Active,RailIntegerReading,Yes,rail,DAPHNE.Boards.{BoardId}.Power.PMBus.{Rail}.StatusTemperature,Integer,N/A,PJT004A0X43 / Rust PMBus collector,Slow Controls
152,BoardTelemetry.power_pm_bus_status_cml,Active,RailIntegerReading,Yes,rail,DAPHNE.Boards.{BoardId}.Power.PMBus.{Rail}.StatusCml,Integer,N/A,PJT004A0X43 / Rust PMBus collector,Slow Controls
153,BoardTelemetry.power_pm_bus_health,Active,RailStringReading,Yes,rail,DAPHNE.Boards.{BoardId}.Power.PMBus.{Rail}.Health,String,N/A,PJT004A0X43 / Rust PMBus collector,Slow Controls
154,BoardTelemetry.thermal_sensors_celsius,Active,SensorDoubleReading,Yes,sensor,DAPHNE.Boards.{BoardId}.Thermal.Sensors.{Sensor}.Celsius,Double,°C,SlowControlStatusResponse.TemperatureReading; Linux thermal/hwmon; PMBus/MCP9808/SFP,Slow Controls
155,BoardTelemetry.thermal_sensors_status,Active,SensorStringReading,Yes,sensor,DAPHNE.Boards.{BoardId}.Thermal.Sensors.{Sensor}.Status,String,N/A,SlowControlStatusResponse.TemperatureReading; Linux thermal/hwmon; PMBus/MCP9808/SFP,Slow Controls
156,BoardTelemetry.thermal_sensors_last_update,Active,SensorDateTimeReading,Yes,sensor,DAPHNE.Boards.{BoardId}.Thermal.Sensors.{Sensor}.LastUpdate,DateTime,N/A,SlowControlStatusResponse.TemperatureReading; Linux thermal/hwmon; PMBus/MCP9808/SFP,Slow Controls
157,BoardTelemetry.hd_mezz_block_enabled,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.BlockEnabled,Boolean,N/A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
158,BoardTelemetry.hd_mezz_configured,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Configured,Boolean,N/A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
159,BoardTelemetry.hd_mezz_power5_v_requested,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Power5VRequested,Boolean,N/A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
160,BoardTelemetry.hd_mezz_power3_v3_requested,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Power3V3Requested,Boolean,N/A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
161,BoardTelemetry.hd_mezz_voltage5_v,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Voltage5V,Double,V,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
162,BoardTelemetry.hd_mezz_current5_v,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Current5V,Double,A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
163,BoardTelemetry.hd_mezz_power5_v,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Power5V,Double,W,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
164,BoardTelemetry.hd_mezz_alert5_v,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Alert5V,Boolean,N/A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
165,BoardTelemetry.hd_mezz_voltage3_v3,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Voltage3V3,Double,V,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
166,BoardTelemetry.hd_mezz_current3_v3,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Current3V3,Double,A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
167,BoardTelemetry.hd_mezz_power3_v3,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Power3V3,Double,W,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
168,BoardTelemetry.hd_mezz_alert3_v3,Active,AfeBooleanReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Alert3V3,Boolean,N/A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
169,BoardTelemetry.hd_mezz_r_shunt5_v,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.RShunt5V,Double,Ohm,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
170,BoardTelemetry.hd_mezz_r_shunt3_v3,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.RShunt3V3,Double,Ohm,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
171,BoardTelemetry.hd_mezz_max_current_scale5_v,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.MaxCurrentScale5V,Double,A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
172,BoardTelemetry.hd_mezz_max_current_scale3_v3,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.MaxCurrentScale3V3,Double,A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
173,BoardTelemetry.hd_mezz_shutdown_current5_v,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.ShutdownCurrent5V,Double,A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
174,BoardTelemetry.hd_mezz_shutdown_current3_v3,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.ShutdownCurrent3V3,Double,A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
175,BoardTelemetry.hd_mezz_max_power5_v,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.MaxPower5V,Double,W,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
176,BoardTelemetry.hd_mezz_max_power3_v3,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.MaxPower3V3,Double,W,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
177,BoardTelemetry.hd_mezz_current_lsb5_v,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.CurrentLsb5V,Double,A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
178,BoardTelemetry.hd_mezz_current_lsb3_v3,Active,AfeDoubleReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.CurrentLsb3V3,Double,A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
179,BoardTelemetry.hd_mezz_shunt_cal5_v,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.ShuntCal5V,Integer,N/A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
180,BoardTelemetry.hd_mezz_shunt_cal3_v3,Active,AfeIntegerReading,Yes,afe,DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.ShuntCal3V3,Integer,N/A,HD mezzanine Protobuf API and cached INA232/TCA9536 driver,Slow Controls
181,BoardTelemetry.optics_sfp_present,Active,SfpBooleanReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.Present,Boolean,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
182,BoardTelemetry.optics_sfp_loss_of_signal,Active,SfpBooleanReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.LossOfSignal,Boolean,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
183,BoardTelemetry.optics_sfp_tx_fault,Active,SfpBooleanReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.TxFault,Boolean,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
184,BoardTelemetry.optics_sfp_tx_disabled,Active,SfpBooleanReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.TxDisabled,Boolean,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
185,BoardTelemetry.optics_sfp_rate_select,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.RateSelect,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
186,BoardTelemetry.optics_sfp_vendor_name,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.VendorName,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
187,BoardTelemetry.optics_sfp_vendor_oui,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.VendorOui,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
188,BoardTelemetry.optics_sfp_part_number,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.PartNumber,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
189,BoardTelemetry.optics_sfp_revision,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.Revision,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
190,BoardTelemetry.optics_sfp_serial_number,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.SerialNumber,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
191,BoardTelemetry.optics_sfp_date_code,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.DateCode,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
192,BoardTelemetry.optics_sfp_nominal_bit_rate_mbps,Active,SfpIntegerReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.NominalBitRateMbps,Integer,Mbit/s,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
193,BoardTelemetry.optics_sfp_wavelength_nm,Active,SfpDoubleReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.WavelengthNm,Double,nm,SFF-8472 plus EDMS 2580777 endpoint SFP specification,Slow Controls
194,BoardTelemetry.optics_sfp_temperature_celsius,Active,SfpDoubleReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.TemperatureCelsius,Double,°C,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
195,BoardTelemetry.optics_sfp_supply_voltage,Active,SfpDoubleReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.SupplyVoltage,Double,V,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
196,BoardTelemetry.optics_sfp_tx_bias_current,Active,SfpDoubleReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.TxBiasCurrent,Double,mA,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
197,BoardTelemetry.optics_sfp_tx_optical_power,Active,SfpDoubleReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.TxOpticalPower,Double,mW,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
198,BoardTelemetry.optics_sfp_rx_optical_power,Active,SfpDoubleReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.RxOpticalPower,Double,mW,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
199,BoardTelemetry.optics_sfp_alarm_flags,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.AlarmFlags,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
200,BoardTelemetry.optics_sfp_warning_flags,Active,SfpStringReading,Yes,sfp,DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.WarningFlags,String,N/A,SFP GPIO/I2C expander 0x72 and SFF-8472,Slow Controls
